Fri Feb 28 2025 12:11:06 GMT-0500 (Eastern Standard Time) - Run Time: 3217ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In W, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
          60          60         14
          60          61        112
          60          62         25
          60          79         25
          60          80         26
          60          82         37
          61           9         13
          61          42         19
          61          59         95
          61          64         54
          61          65         13
          61          66         12
          61          80         64
          61          90         13
          62          34          7
          62          36         22
          62          46         25
          62          58         70
          62          59         45
          62          60         51
          62          61         47
          62          62         79
          62          63         16
          62          64         22
          62          80         19
          62          82          9
          62         121         14
          63          62         77
          63          63         74
          63          64          9
          63          65         33
          63          66         48
          63          67         31
          63          69         24
          63          83         52
          64          58         27
          64          59         85
          64          61         27
          64          63         49
          64          64         98
          64          65         68
          64          66         92
          64          76        193
          64          78         32
          64          79         13
          64          80         52
          64          90         96
          65          38         23
          65          43         15
          65          56          3
          65          57         57
          65          58          6
          65          59          8
          65          62         35
          65          64         19
          65          65         26
          65          66        277
          65          67         63
          65          75         30
          65          78        201
          65          98         28
          65          99          4
          66          36         51
          66          37         37
          66          57         58
          66          59        109
          66          60         13
          66          61          9
          66          65        137
          66          66        319
          66          67         26
          66          76         35
          66          77         48
          66          90         22
          67           2         14
          67          38          4
          67          39         16
          67          55         18
          67          59          5
          67          62          8
          67          66        123
          67          67        457
          67          68         58
          67          69         89
          67          70         21
          67          75          8
          67          76         26
          67          97          9
          68          45         14
          68          47          4
          68          49          4
          68          52          3
          68          61         15
          68          64         12
          68          66          4
          68          67         87
          68          68         20
          68          70        100
          68          71         31
          68          84          5
          68          92         30
          68          98          3
          69          22         21
          69          53          4
          69          66         14
          69          69        202
          69          70        147
          69          71          4
          69          73         57
          69          75         17
          69          76         16
          69         173         27
          70          45          8
          70          50         14
          70          69         12
          70          71         17
          70          73         79
          70          96         32
          70         206         25
          71          40         20
          71          43         18
          71          44         36
          71          45         39
          71          46         28
          71          47          7
          71          48         24
          71          66         33
          71          69         13
          71          70         30
          71          71         54
          71          72        189
          71          73         39
          71          94         44
          71         173         34
          71         188         45
          71         189         22
          72          43         21
          72          44         38
          72          46         33
          72          50         21
          72          69          3
          72          70         47
          72          71         25
          72          72        177
          72          73         78
          72          90         23
          72          93          4
          72          94        116
          72          95        245
          72         173         29
          72         186        201
          72         188         11
          73          46        105
          73          69         45
          73          72         62
          73          73         39
          73          90         24
          73          94         41
          73          95        173
          73         187         43
          74          43          4
          74          66          4
          74          69          8
          74          72         16
          74          73          8
          74          74         72
          74          91         54
          74          92          3
          74          93          3
          75          48          7
          75          54          4
          75          66         96
          75          67        208
          75          68         31
          75          69         22
          75          70          4
          75          74          4
          75          75         45
          75          77         35
          75          96         29
          75          98         55
          76          53          4
          76          67         96
          76          76         40
          76          91          8
          76          98         31
          77          17         31
          77          53         31
          77          59         34
          77          65         34
          77          66        148
          77          67          9
          77          76        100
          77          77        181
          77          78         23
          77          79          6
          77          90         63
          77          93          7
          77          98        162
          77         112         13
          77         120         43
          77         186          5
          77         243         20
          78          64          6
          78          66         12
          78          77         23
          78          78         51
          78          80        143
          78          82         18
          78          84         69
          78          86         10
          78          89          9
          78          90        113
          79          15         44
          79          58         80
          79          63         21
          79          66         21
          79          77        117
          79          79        120
          79          80         36
          79          83         30
          79          84         28
          79          90         43
          80          37          8
          80          62         17
          80          66         10
          80          80         43
          80          84         12
          80         202         17
          81          26          4
          81          81         48
          82          62         12
          82          80         23
          82          86         52
          82          90         45
          84          65         41
          84          66         46
          84          67         43
          84          77         20
          84          78         17
          84          79         57
          84          80         23
          84          82         15
          84          83         58
          84          84         20
          84          86         32
          84          87         13
          84          89         49
          84          98         29
          87         110         19
          89          59         53
          89          61         47
          89          67          8
          89          79         38
          89          84         32
          89          85         58
          89          86         31
          89          87         30
          89          89        426
          89          90         48
          89          95         24
          89          98         45
          89         110          9
          90          53          3
          90          55         37
          90          59         53
          90          66         44
          90          67          7
          90          77        109
          90          78         19
          90          79         48
          90          86         52
          90          89        231
          90          90         13
          90          91         22
          90          93         32
          90          98         51
          90         100          3
          90         204          3
          91          55         28
          91          76          4
          91          79          4
          91          86          4
          91          91          4
          91          98         31
          92          43          4
          92          69        132
          92          72         16
          92          76         40
          92          92         54
          92          93         13
          92          98        410
          93          65         19
          93          72        206
          93          73         29
          93          74         61
          93          77          7
          93          93        139
          93          94         35
          93          95        296
          93          96         61
          93          97         25
          93          98         81
          93         103          4
          94          72          9
          94          73         30
          94          93          3
          94          94        209
          94          95         88
          94          96         15
          94         104          8
          94         170         12
          94         285          3
          95          94         23
          95          95         59
          95          96          3
          95          98          3
          95         101        127
          95         104         26
          95         107          4
          95         147         19
          95         171         74
          95         173          6
          96          67          3
          96          73          4
          96          75         67
          96          93          4
          96          94          4
          96          95        136
          96          96         31
          96          97        160
          96          98         19
          96         101          8
          96         102         31
          96         103          9
          97          93         26
          97          95          5
          97          97        112
          97          98          4
          97         101         27
          97         186          5
          98          76         39
          98          79         29
          98          86         17
          98          96          8
          98          98         67
          98          99          4
          98         119         50
          98         120         50
          99          77         57
          99          89        123
          99          90          8
          99          98        272
          99          99         32
          99         101          4
          99         102          7
          99         110         88
          99         121         57
         100          97        166
         100          98         25
         100          99          4
         100         101         23
         100         108         31
         101          43         22
         101          90         24
         101          97         27
         101          98         47
         101         100          4
         101         101          8
         101         102          4
         101         105         56
         101         108          9
         102          95         25
         102          96         62
         102          97         66
         102          98         28
         102         101         46
         102         115          6
         103          93         21
         103          95          3
         103          96          7
         103         101          6
         103         104        120
         103         105          3
         103         107          8
         103         167          3
         104          97          4
         104         101         92
         104         104        407
         105          76          7
         105         101        153
         105         103         47
         105         104          7
         105         105         54
         105         106        164
         105         108          4
         105         115         26
         105         120         71
         105         165        131
         105         166        166
         106          61         13
         106         105         21
         106         106         99
         106         107         68
         106         113          4
         106         115         19
         106         120         54
         107          97         32
         107         100          8
         107         105          4
         107         106         26
         107         107          7
         107         113         12
         107         115          4
         107         120          4
         107         285         49
         108          36         76
         108          97         27
         108          98         28
         108         106          4
         108         107         11
         108         108         31
         108         109         10
         109          55         37
         109         107          5
         109         108        234
         109         109        111
         109         114         25
         109         120         80
         109         146          6
         110          89         70
         110         109         10
         110         110        148
         112          86         13
         113         109         41
         113         110        131
         113         112         16
         113         113         57
         113         114          9
         113         115         69
         113         120         44
         113         121          3
         113         285          3
         114         106         59
         114         107         11
         114         109        233
         114         112          6
         114         113         49
         114         114         41
         114         116         79
         114         118          6
         114         120         30
         115         109         24
         115         113         41
         115         114         26
         115         115          5
         115         120         49
         115         125         30
         115         309         12
         116          67          3
         116         106         13
         116         116          3
         116         117          4
         116         118         13
         116         119         20
         116         120         45
         117         106         14
         117         117          9
         117         120         23
         117         125         11
         117         146         30
         117         187         38
         118         117          7
         118         118         14
         118         119          5
         118         120         79
         118         125         44
         118         126          8
         119         107        142
         119         113         14
         119         117         33
         119         118         48
         119         119         62
         119         120        474
         119         122         25
         119         125         14
         119         285         53
         120         117         13
         120         120        128
         120         122        136
         120         125         89
         121         113         37
         121         285          3
         122         119         10
         122         120        101
         122         122         93
         122         123         33
         122         124         42
         122         317         19
         123         122          8
         123         123         11
         123         125         36
         123         127          7
         124          59         31
         124         120        143
         124         123         38
         124         124         57
         124         125         38
         124         287         19
         124         316          6
         125         119        122
         125         120        196
         125         122          5
         125         123         37
         125         124         64
         125         125        198
         125         146         19
         126         120         11
         126         123         21
         126         124         22
         126         125         79
         127         123          7
         127         124         13
         127         127        154
         128         123         62
         128         128         76
         128         341         74
         129         123          7
         129         129         68
         130         130         21
         130         145         30
         130         318         43
         133         133         14
         134         133          6
         134         135         34
         137         137         19
         139         139         17
         140         131          6
         142         142         18
         143         124         17
         143         132          6
         143         142          5
         143         143         17
         143         149         17
         145         106          4
         145         145         45
         145         146         32
         145         147          8
         146         120          5
         146         146         16
         147         106          3
         147         147         19
         147         148        134
         147         165         23
         147         173          3
         147         285          3
         148         129         11
         148         140          4
         148         147         32
         148         162          4
         148         163         11
         148         165        130
         149         145        129
         149         146         25
         149         150         31
         150         162          4
         150         164          8
         150         176          4
         150         208         25
         152         149         31
         152         151         24
         154         416          6
         155         415         11
         158         178         29
         161         177         24
         162         163         15
         162         165         15
         163         420          5
         164         148         10
         164         164        131
         164         165         41
         164         181        113
         165         104         12
         165         120         56
         165         163          8
         165         164         12
         165         165         48
         166         105         73
         166         165          6
         166         166        241
         167          43          5
         167          64          5
         167          94         14
         167          95          7
         167          96          7
         167         165          7
         167         167         30
         167         170         20
         169          94         34
         169         168          4
         169         169         48
         169         170         80
         169         173         44
         169         175         30
         169         186         53
         169         188         13
         169         189         46
         170         106         25
         170         165         32
         170         166          3
         170         167          4
         170         169        166
         170         170        101
         170         186         47
         171         165         51
         171         169         23
         171         171         19
         171         172          6
         172          72         10
         172         173         28
         173          40         33
         173         169        115
         173         170         80
         173         171         17
         173         172          7
         173         173        130
         173         174         39
         173         175         18
         173         184         19
         173         186         79
         173         197         19
         173         203         12
         173         219         27
         174         174         23
         175         101          9
         175         169          9
         175         173         20
         175         175         15
         175         185          6
         176          97          5
         176         172         11
         177          70         17
         177         161         71
         177         175         23
         177         178         10
         177         183         56
         178         158         29
         178         183         44
         179         178         44
         179         179         43
         179         181         20
         181         194         17
         182         179         32
         182         181        143
         182         182          7
         183         182         73
         183         183         44
         183         394         19
         184         173         56
         184         174         24
         184         183         71
         185         185         15
         185         186         18
         185         189        235
         185         191         78
         186          73          9
         186         173         18
         186         186         53
         186         188         42
         187          45          8
         187          69          7
         187          71         22
         187          94          4
         187         173         33
         187         186         11
         187         187         45
         187         203         45
         188          43         23
         188          46        104
         188          63         19
         188         186          9
         188         188         62
         188         189         26
         188         203         33
         188         204         16
         188         205         23
         189         186          6
         190         201         34
         193         182         80
         193         193        100
         193         440         14
         195         192         20
         195         195         74
         195         196          7
         195         197         14
         196         195         12
         196         196         41
         196         197         50
         196         201          7
         196         213         30
         196         214         24
         196         227         27
         197          46         27
         197         197        101
         197         200         21
         197         201          5
         197         211         12
         197         212         78
         197         213         22
         197         214          9
         197         215         10
         198         197         86
         199         208          8
         199         213         12
         200         188          5
         200         192          7
         200         199         20
         200         200          6
         200         211         33
         201          37          7
         201         184          8
         201         185         23
         201         191          8
         201         200         61
         201         208          9
         201         209         20
         201         210         69
         201         211         28
         201         216          7
         202          33          6
         202          44         41
         202          45         18
         202         173         26
         202         186         33
         202         189          7
         202         200         41
         202         201         54
         202         202         92
         202         203         22
         202         204         82
         202         208         19
         203          44         68
         203          45          9
         203         188         93
         203         203         12
         203         204        187
         203         205        124
         203         208         28
         204          43         22
         204          45         15
         204          67         17
         204          72          8
         204         203         28
         204         204         68
         204         205         21
         204         207         51
         204         208         35
         204         283         86
         205          19         20
         205          21         14
         205          45         25
         205          72         20
         205         205         27
         205         206         54
         205         283          9
         206         206        257
         207         204         51
