Fri Feb 28 2025 12:08:58 GMT-0500 (Eastern Standard Time) - Run Time: 3538ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In D, M, T, U, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
         104          94          6
         104         101          7
         104         104          4
         104         120         20
         104         186         29
         104         225          6
         105          98          4
         105         108        120
         105         116          4
         105         123         18
         105         280         12
         105         360         47
         106          86          4
         106         105          4
         106         116          5
         106         120         11
         106         157          4
         106         166          4
         106         285          4
         106         426         12
         107         108         28
         107         227          4
         107         286         32
         107         289        105
         108         301          4
         109          26          5
         109          67         17
         109          76          3
         109         104          5
         109         275          5
         109         278          5
         109         452         17
         110          95         19
         110         120         10
         110         310          5
         112          66          3
         113          37          3
         113          55          3
         113          65          3
         113          71         14
         113         114         12
         113         120         18
         113         335          3
         114          93         14
         114         105          3
         114         113         14
         114         119          9
         114         120          7
         114         123          3
         114         125          3
         114         307         19
         115           7          3
         115          59          3
         115          86         50
         115          94         13
         115         108         50
         115         112         33
         115         120          4
         115         146         21
         115         251          6
         115         301          8
         115         319         17
         115         356         13
         116         110          3
         116         113          5
         116         114          5
         116         120         15
         116         121          3
         116         123          3
         116         149          4
         116         165          5
         117         116          7
         117         120         24
         117         308          4
         118         106          7
         118         120         16
         118         125         33
         118         173         16
         119          98          6
         119         120         19
         119         122          8
         119         293         39
         119         299          9
         119         300         20
         119         306         22
         119         324         19
         120         112         13
         120         117         20
         120         120         48
         120         146         39
         120         157         67
         120         335         19
         122          59         26
         122          62         27
         122         113         26
         122         115         11
         122         120         46
         122         122         26
         122         125         29
         122         130          7
         122         225         12
         122         260         26
         122         285         15
         122         287          7
         122         288         11
         122         300         48
         122         309         18
         122         313         13
         122         335         63
         123          72          8
         123         110         12
         123         120         19
         123         127         14
         123         142         11
         123         146         25
         123         286          6
         123         314          9
         124          74          6
         124          75          8
         124          98         17
         124         108          9
         124         112          5
         124         115         36
         124         120         78
         124         122         10
         124         124         19
         124         125         10
         124         130          4
         124         146         45
         124         218          3
         124         255         12
         124         293         26
         124         298         12
         124         303         20
         124         304          7
         124         314         32
         124         317         10
         125         109          4
         125         112         19
         125         113          4
         125         116         14
