Fri Feb 28 2025 12:06:52 GMT-0500 (Eastern Standard Time) - Run Time: 3348ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In B, G, J, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
         101          45        107
         101          89         12
         101         110          6
         101         125         92
         101         165          4
         101         204          8
         101         277          4
         102          37          7
         102          64          4
         102          73         17
         102          94         79
         102         108          4
         103          59          3
         103          65          6
         103          76         26
         103         124          9
         103         264          3
         104          20         12
         104          22         92
         104          37          6
         104          48          8
         104          52          9
         104          73         13
         104          94          9
         104         120         92
         105          15         26
         105          43          4
         105          59         30
         105          66          8
         105          70        234
         105          72         29
         105          89         19
         105         116         61
         105         124         26
         106          35          8
         106          58         16
         106          61          5
         106          73          4
         107          46          4
         107          66          4
         107         490         10
         108          66         41
         108         120        115
         109          45          5
         109          55          5
         109          73          8
         109          94         27
         109          98          5
         110          38         20
         110          73          5
         110         113          5
         110         120         14
         113          22         25
         113          55          3
         113          66          5
         113          89          4
         113          98          3
         113         107          6
         113         108         33
         113         165          6
         113         201          9
         113         257          6
         113         290         78
         114          15          6
         114          37         29
         114          59          7
         114          66         34
         115          45         55
         115          67         19
         115          70          7
         115         186          8
         115         279          6
         116          25         44
         116          29         58
         116          44         51
         116          45          5
         116          55         30
         116          66         54
         116          73         14
         116         101         11
         116         146         33
         116         271         15
         116         272          4
         116         289         47
         116         313         33
         116         393          3
         117          34         24
         117          47         14
         117          73         14
         117          76         14
         117         146         14
         118          40         16
         118          58          3
         118          59          8
         118          63         18
         118          72         15
         118         443         20
         119          45         31
         119          70        107
         119         108         31
         119         125         19
         119         264         71
         119         546         42
         120          59         40
         120          98          3
         120         124         30
         120         146         21
         122          65         19
         122         117          7
         122         206          7
         122         299         11
         123          73         55
         123         270         26
         124          38          6
         124          39         32
         124          59          5
         124          65          5
         124          67         19
         124         119          5
         124         313         27
         124         391         44
         125          35          7
         125          64          4
         125          66         60
         125          67          4
         125          72         17
         125          73         16
         125          97         14
         125         134         14
         125         272          7
         125         319         13
         125         335         14
         126           1          9
         126          42          6
         126          76          5
         126         391          7
         127          65          5
         127          74         18
         127          90         10
         127         287         17
         127         299          5
         128         250         11
         129          70         40
         129         123          5
         129         315          9
         130          65         29
         130          67         32
         130         129         60
         132          59         27
         133         149         31
         133         414          4
         134          34         10
         134         442          5
         135         182          5
         137         189         43
         138         133         56
         139         270         10
         140          67          6
         142         118         22
         145          69         10
         145         188          5
         147         127          4
         148          73          8
         148          96          3
         148         165         96
         148         171          8
         148         186         14
         149          43        133
         150         149         12
         150         165         14
         150         172         36
         151         191         34
         152         132         10
         152         139         38
         154         415         33
         159         106         20
         161         104         14
         161         211         10
         161         264         12
         162         170         14
         163         204          5
         164          63          4
         164          72          4
         164          73          9
         164         278         37
         165          26         26
         165          46         39
         165         114          8
         165         201          8
         165         204          4
         165         251         15
         166         105          5
         167         314         14
         168         146         19
         168         273         18
         169          42         72
         169          48          4
         169          55          9
         169          70          5
         169          99         37
         169         147         35
         169         200          4
         169         211         13
         169         251         15
         170          37         21
         170          46         23
         170          49          5
         170          65          5
         170          72          5
         171         165         35
         171         175         16
         171         187         16
         171         393         40
         172          57         27
         172          65         11
         172         147         15
         172         165         15
         172         197         12
         173          38         18
         173          43         34
         173          63         12
         173          70         84
         173          71         18
         173          93         40
         173         165         56
         173         170         77
         173         171         15
         173         180         10
         173         204          7
         173         228         20
         173         251         12
         173         360         18
         174          48         22
         174          59         32
         175          97          9
         176          24          5
         176          46         18
         176         105         27
         176         162          7
         177          47         25
         177          66         19
         177          73         39
         177          75         11
         177         149         42
         177         183         13
         177         274         28
         177         488         67
         178          64        144
         178         192        144
         178         211        144
         178         267         13
         178         391         25
         179         108         50
         179         180         81
         180          46          8
         180          59        128
         180          76         22
         180         443         17
         181          64         46
         181          67         30
         181         170         23
         182          36         28
         182          48         26
         182          50         29
         182          98         20
         183          68         35
         183         200         12
         184          69          8
         184         120         47
         185          51         35
         185          59         48
         185          66          9
         185          73         25
         185          98         22
         185         149         14
         185         169          7
         185         173         17
         185         272         16
         186          16         38
         186          46         19
         186          66         60
         186          69         17
         187         421         21
         187         481         25
         188          48         19
         188          69         27
         188          99         30
         188         211         38
         190          42         12
         190          65          7
         190         443         19
         191          50         90
         191          70         34
         191          93         75
         192          65          6
         192         443         49
         193          48          8
         193         270         30
         194          59         21
         194          66          7
         194          67         12
         194         189         18
         195          65         30
         195         228         18
         196          17         16
         196          37         49
         196          46         35
         196          55         23
         196          59          7
         196          65          8
         196          66        133
         197          55         26
         197          73         19
         197          76         12
         197         204          5
         198          69          5
         200          43         56
         201          25         54
         201          39         39
         201          66         20
         201          69         32
         201         211         70
         201         268         55
         202          37          4
         202          42         41
         202          55         18
         202          74         19
         202         169          5
         202         227         18
         202         271          9
         203          37         33
         203          51         24
         203          57         24
         203          66          5
         203          70         11
         203         101         85
         203         195         22
         203         221         27
         203         227         51
         203         269         22
         204          15          5
         204          44         12
         204          48         14
         204          50         53
         204          59         21
         204          66        134
         204         169         37
         204         211         50
         204         279         24
         204         317         14
         205          48          7
         205          54          9
         205          63         10
         205          64         21
         205          67         16
         205          70         12
         205         278          5
         206          55          8
         206          66         20
         206          85         98
         207          37          5
         207          73         11
         209          21         35
         209          43         12
         209          46         11
         209          48         42
         209          50         12
         209          59         17
         209          64         52
         209          69         26
         209          72         13
         209          96         21
         209         205         29
         209         264         30
         209         272         20
         209         279         51
         210          37         28
         210          38         30
         210          42         19
         210          48         10
         210          58         21
         210          59         54
         210          64         87
         210          65         22
         210          67         13
         210          70          5
         210         186         27
         210         195         14
         210         220         26
         210         225         29
         210         230         14
         210         275          8
         210         323         29
         211          35         23
         211          46         33
         211          48         24
         211          59         40
         211          61         44
         211          62         31
         211          66         29
         211          69         40
         211          70         44
         211          72         79
         211          73         79
         211         107         32
         211         142         12
         211         204         14
         211         272         39
         211         414         63
         212          48         33
         212          66         23
         212         103         36
         212         194         27
         212         214         13
         212         223        106
         212         435         50
         214          59         21
         214          65         25
         214          66          6
         214         158          6
         214         211         12
         215          64         34
         215          66          9
         215         211         49
         216          37         25
         216          66         22
         216         201         17
         216         211         17
         216         258          5
         216         268          8
         217          16          9
         217          46          6
         217         204         74
         217         442         10
         218          38          8
         219          65         26
         219          70         41
         219         201         49
         220          65          6
         220         280         11
         222          71          5
         222         208         33
         222         242         80
         222         270         26
         222         536          9
         223          58        227
         227          66         38
         228          42         46
         228          59         45
         228          62         28
         228          66         10
         228          71         12
         229          65         31
         229         278         18
         229         499         18
         230         231         21
         233          62         43
         233         490         51
         233         532          5
         233         623        129
         234         481         20
         238          65          4
         239          15         21
         239          55         13
         239         225         13
         239         490        106
         239         566        102
         239         587         38
         241          70         30
         243         110         17
         243         244          5
         244         527         19
         247         528         47
         247         582         29
         249          43        115
         249          72          7
         249         249         84
         249         527        194
         249         541          7
         250           9         38
         250          37         43
         250          54         12
         250          67          4
         250          70         15
         250          72          7
         250         120          6
         250         216        151
         250         222         64
         250         250        133
         250         280          7
         250         452         14
         250         528         43
         251          46         10
         251          70         10
         251         103          3
         251         277          5
         252          22         16
         252          59         19
         252          69          5
         252         278          6
         252         540         24
         254          52          5
         255          21         12
         255          68          4
         255         220          9
         255         279         42
         255         490         11
         256          64          4
         257          24         15
         257          34         45
         257          39         13
         257          46         13
         257          66         26
         257          97         10
         257         114         59
         257         266         10
         257         283          9
         258          46         15
         258         251         13
         258         276          5
         258         278          4
         258         502          7
         259          36         45
         259          37         18
         259          93          8
         259         125          9
         263          43          9
         263          54          5
         263          55         13
         263          65         26
         263          69         14
         263         270          3
         264          22         11
         264          37         31
         264          45         20
         264          50         31
         264          55         14
         264          59          4
         264          64          3
         264          73         20
         264          74         10
         264         248         27
         264         253        111
         264         269         43
         265         205         69
         265         251          3
         265         270         23
         266          55         53
         266          58          6
         267          97          4
         267         187          4
         268          59         82
         268         282         44
         268         283         93
         269          36          3
         269         205         69
         269         542          4
         269         592         11
         270          69          8
         270          70        127
         270          73         10
