Fri Feb 28 2025 12:10:28 GMT-0500 (Eastern Standard Time) - Run Time: 3503ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In C, O, E)

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
         179         209          8
         186          69         17
         186         204          5
         187          24         27
         187          74         17
         188          73         24
         188         208         36
         189         200         16
         190         211         19
         195         189          7
         195         197         14
         196         174          6
         196         196         41
         196         211         15
         196         225          9
         197         211         17
         198         213         10
         200         213          4
         201          62          6
         202          97         20
         202         283         24
         203          45          9
         203          61          9
         203         100          5
         203         217          6
         203         283          6
         204         191         26
         204         203          5
         204         204         20
         206         207        129
         207         206        129
         209           7         26
         209         161         18
         209         204         27
         209         206         41
         210         208         12
         210         217          4
         211          10         14
         211         165         40
         211         220         45
         211         452         15
         212         210         74
         212         217          7
         212         228         59
         212         416         21
         213         214          9
         214         225         10
         215          20         27
         216           7         10
         216         173          8
         216         200         13
         216         216         17
         216         225         25
         217         222          6
         218         222         13
         220         192         45
         222         284         11
         225         249         37
         230         230         19
         235          14          5
         244          70         20
         249          14          4
         249         253         20
         250         106         14
         251           7         29
         251         124          8
         251         264          7
         252         264          6
         253          64         14
         253         251         37
         253         253         24
         253         254         13
         253         270         16
         254         254         36
         254         257         36
         254         282         24
         255           7         27
         255          19          4
         255         278         15
         256          11          5
         256         250         14
         256         253         43
         257           7         23
         257          48         14
         257         124          6
         257         253         91
         257         254         60
         258           2         20
         258           7          6
         258          96          3
         258         120         16
         258         254         13
         258         264         15
         258         265         92
         258         280         51
         259         251          7
         259         264          7
         259         275         21
         262         263         56
         263         263         44
         264         263          3
         264         264          5
         264         270          6
         264         279          3
         265           7          3
         266           2         28
         268         270          4
         269           6          6
         269         266          5
         269         270          9
         270           2         84
         270          14         31
         270          44         83
         270          69          5
         271           2         92
         271           7          5
         271          24          6
         271          38         23
         271         541         25
         272           7          7
         272          98          4
         272         111         25
         273         272         73
         274         254          3
         277           6         57
         277         276          6
         278          52         88
         278         250         30
         280         277         47
         281          40         53
         281          95         15
         281         279         52
         282          26         31
         282          36         29
         282          96         31
         282         273         57
         282         282         29
         285           7          7
         285          62         15
         285          83         17
         285         112         27
         286          86         16
         286         120         14
         287         287         10
         288         288         10
         288         307         34
         289          99         63
         290          15         14
         290         112         55
         290         290         21
         290         295         21
         291         295         21
         295         290         21
         300         121         22
         301         307         18
         305         133          7
         306         142          6
         306         286         49
         307         335         34
         311         115          5
         315         286          7
         317          62         22
         317         295         60
         318         111         16
         322         329         31
         324         324         11
         330         322         15
         335         285         23
         335         323         26
         335         368          4
         339         347         31
         341         285          6
         342         345         31
         345         318         31
         347         348        146
         348         142          9
         365         365         19
         366         364         15
         366         366         15
         368         364          4
         368         372          7
         384         384         89
         425         416         20
         425         470          9
         428         436         15
         432         450          7
         438         389          6
         439         442          9
         442         440         13
         450         441         24
         452         225         15
         453         430         31
         455         442          4
         456         438         10
         463         463         25
         464         463         25
         465         209         18
         478         461          3
         485         261         33
         491         491         27
         496         494         60
         496         511        112
         499         625         10
         501         601        124
         507         507          4
         522         516         16
         538          28          5
         539         270         15
         542         530         10
         545         534          4
         546         523         12
         552         566         21
         560         571         14
         568         560         15
         568         570         14
         568         571         14
         568         575         11
         572         573         42
         575         576         27
         586         595         46
         587         587         10
         591         599          7
         592         594         35
         608         616         21
         622         621         64
         622         622         64
         623         552         22
        1033         371        165
        1035         570         11
        2072         388         34
        2124         446         48
        2142         421          4
        2362         463         17
        2398         599         76
        2411         625         32
        3367         335          6
        3655         295         25
        3669          82         20
        3681         295         14
        3682         335          8
        4166          68         32
        9998          81         12
